13.0,13,1000,82.0,27.0,10.0,7.0,12.0
9.0,8,5000,400.0,142.0,103.0,45.0,53.0
7.0,6,100,30.0,14.0,5.0,1.0,3.0
11.0,10,5000,447.0,201.0,135.0,81.0,144.0
7.0,9,1000,101.0,36.0,38.0,15.0,29.0
11.0,89,100,8.0,5.0,6.0,0.0,5.0
19.0,21,5000,897.0,289.0,149.0,74.0,152.0
11.0,10,1000,103.0,59.0,33.0,7.0,19.0
11.0,10,20000,985.0,356.0,320.0,156.0,343.0
8.0,7,100,9.0,7.0,2.0,0.0,3.0
13.0,25,100,29.0,16.0,10.0,7.0,17.0
11.0,106,20000,4974.0,2091.0,1409.0,655.0,1021.0
2.66,3,100,1.0,4.0,2.0,0.0,5.0
3.67,9,5000,181.0,83.0,77.0,58.0,111.0
12.0,11,10000,1950.0,776.0,428.0,184.0,222.0
7.0,6,100,7.0,3.0,5.0,1.0,2.0
4.73,7,100,57.0,16.0,6.0,4.0,3.0
11.0,37,20000,2679.0,1403.0,1317.0,793.0,1404.0
11.0,10,100,5.0,3.0,1.0,2.0,2.0
7.0,6,100,19.0,12.0,6.0,4.0,6.0
5.0,5,1000,80.0,44.0,57.0,23.0,48.0
11.0,10,1000,23.0,11.0,10.0,3.0,7.0
7.0,6,1000,44.0,29.0,21.0,17.0,30.0
11.0,250,20000,1342.0,691.0,618.0,301.0,445.0
8.0,7,10000,705.0,296.0,162.0,79.0,70.0
9.0,8,1000,40.0,12.0,10.0,11.0,26.0
9.0,38,1000,216.0,64.0,16.0,9.0,7.0
5.74,5,100,24.0,6.0,11.0,2.0,15.0
9.0,8,10000,894.0,303.0,224.0,92.0,129.0
11.0,84,100,23.0,9.0,8.0,3.0,13.0
12.0,11,1000,189.0,101.0,59.0,30.0,49.0
5.74,5,10000,981.0,434.0,368.0,220.0,363.0
12.0,11,20000,932.0,422.0,317.0,151.0,244.0
7.0,6,1000,121.0,43.0,24.0,8.0,11.0
3.0,3,100,22.0,13.0,6.0,4.0,2.0
6.0,21,5000,174.0,96.0,97.0,69.0,137.0
9.0,21,100,17.0,10.0,6.0,8.0,6.0
7.0,7,1000,330.0,128.0,90.0,34.0,54.0
8.0,7,100,33.0,10.0,4.0,2.0,5.0
2.0,2,1000,50.0,14.0,6.0,4.0,7.0
11.0,14,20000,3689.0,1502.0,1160.0,592.0,1086.0
12.0,31,1000,178.0,56.0,41.0,24.0,45.0
8.0,7,1000,27.0,12.0,6.0,2.0,7.0
3.86,4,100,9.0,4.0,2.0,5.0,3.0
1.86,2,1000,20.0,2.0,5.0,4.0,5.0
9.0,8,1000,32.0,20.0,26.0,12.0,34.0
7.0,30,1000,64.0,25.0,30.0,18.0,42.0
12.0,17,1000,60.0,20.0,13.0,5.0,5.0
5.0,5,5000,326.0,170.0,193.0,125.0,199.0
12.0,168,5000,288.0,113.0,60.0,26.0,42.0
7.0,6,1000,77.0,44.0,39.0,19.0,66.0
5.0,5,1000,33.0,13.0,10.0,11.0,35.0
7.0,7,10000,550.0,257.0,171.0,86.0,129.0
5.65,6,1000,86.0,26.0,28.0,8.0,16.0
8.0,7,100,9.0,2.0,1.0,1.0,6.0
8.0,7,1000,34.0,14.0,18.0,12.0,16.0
16.0,34,5000,976.0,328.0,162.0,70.0,76.0
7.0,13,1000,25.0,8.0,10.0,4.0,7.0
16.0,108,10000,905.0,313.0,169.0,63.0,74.0
6.0,7,10000,537.0,264.0,187.0,91.0,159.0
11.0,18,20000,3125.0,1205.0,838.0,305.0,286.0
13.0,11,10000,1573.0,606.0,399.0,135.0,188.0
